relationshipType,unique_value_count,unique_values
hasOpeningType,15,"['zipper', 'round neck', 'open front', 'crew neck', 'zipper front', 'round neckline', 'button', 'crew-neck', 'crew neck opening', 'slip-on', 'button-down front', 'n/a', 'lace-up opening', 'zipped', 'na']"
hasSilhouette,15,"['round', 'straight', 'crew-neck', 'slim-fit', 'crew neck', 'fitted', 'regular', 'a-line', 'slip-on', 'classic fit', 'rectangular', 'long & thin', 'pointed toe', 'regular fit', 'n/a']"
hasPattern,14,"['abstract', 'solid color', 'solid-color', 'graphic', 'graphic print', 'stripe', 'striped', 'checked pattern', 'n/a', 'animal skin', 'checked', 'na', 'cartoon character', 'stripe pattern']"
hasLength,10,"['short', 'short-sleeve', 'ankle-high', 'regular fit', 'n/a', 'long', 'ankle length', 'above the waist', 'short sleeve', 'na']"
hasNeckline,9,"['crew neck', 'crew-neck', 'round', 'round-neck', 'round-neckline', 'round neckline', 'n/a', 'classic pointed collar', 'na']"
depicts,9,"['t-shirt', 'shoes', 'shirt', 'perfume bottle', 'wallet', 'scarf', 'formal leather lace-ups regular formal shoes footw_5', 'vest', 'bra']"
hasFabricTreatment,7,"['soft-touch', 'dyed', 'stretchy', 'plain-weave', 'plain weave', 'n/a', 'na']"
hasWaistline,6,"['high-waisted', 'defined', 'straight', 'natural', 'fitted', 'n/a']"
hasPocketType,6,"['side pockets', 'side-pockets', 'no-pocket', 'no-pockets', 'no pocket', 'n/a']"
hasMaterialType,5,"['cotton', 'synthetic', 'leather', 'n/a', 'fabric']"
hasSleeveType,4,"['short-sleeve', 'sleeveless', 'long-sleeve', 'n/a']"
hasCollarType,4,"['crew-neck', 'round-neck', 'n/a', 'button-down collar']"
hasLapelType,4,"['lapelless', 'no-lapel', 'lapel-less', 'n/a']"
belongsToCategory,3,"['upperbody', 'wholebody', 'lowerbody']"
hasLeatherType,3,"['n/a', 'brown', 'smooth finish']"
hasNickname,3,"['dress shirt', 'perfume bottle', 'lavender scarf']"
hasAnimalPattern,2,"['n/a', 'tiger']"
