relationshipType,unique_value_count,unique_values
hasFabricTreatment,10,"['polished', 'polished finish', 'smooth', 'dyed', 'polished metal', 'plain weave', 'coated', 'textured', 'stitched', 'stained']"
hasOpeningType,8,"['one opening', 'buckle', 'button', 'buckle closure', 'button hole', 'button fastening', 'false', 'round']"
hasSleeveType,5,"['short', 'sleeveless', 'long', 'long-sleeve', 'no sleeve']"
hasMaterialType,4,"['metal', 'leather', 'fabric', 'plastic']"
hasLength,4,"['short', 'medium', 'full length', 'long']"
belongsToCategory,4,"['head', 'headwear', 'upperbody', 'watch']"
hasPattern,4,"['solid color', 'geometric', 'striped', 'plaid']"
hasLeatherType,3,"['smooth', 'calfskin', 'cowhide']"
hasSilhouette,2,"['round', 'circular']"
hasNeckline,1,['round']
depicts,1,['watch']
hasPocketType,1,['false']
hasAnimalPattern,1,['false']
hasNickname,1,['timepiece']
