relationshipType,unique_value_count,unique_values
hasNeckline,11,"['v-neck', 'pointed', 'notch', 'v-shaped', 'point', 'classic', 'straight', 'pointed neckline', 'notch neckline', 'round', 'button-down']"
hasCollarType,10,"['notch', 'pointed', 'collarless collar', 'button-down', 'spread-collar', 'v-neck', 'mandarin-collar', 'pointed-collar', 'notch-collar', 'crew-neck']"
hasFabricTreatment,9,"['plain weave', 'plain-weave', 'solid', 'unfinished', 'soft', 'plain weaved', 'woven', 'unbleached', 'unfinished seams']"
hasPocketType,9,"['chest pocket', 'side', 'slant', 'patch', 'chest pockets', 'patch pockets', 'patch pocket', 'side pocket', 'buttoned']"
hasOpeningType,6,"['button front', 'button', 'button front closure', 'buttoned closure', 'buttoned opening', 'fastening']"
hasSleeveType,4,"['long-sleeve', 'short', 'short-sleeve', 'long']"
hasWaistline,3,"['natural', 'natural waistline', 'high-waisted']"
hasSilhouette,3,"['straight', 'regular', 'a-line']"
hasMaterialType,2,"['cotton', 'cotton blend']"
hasLapelType,2,"['notch', 'pointed']"
hasLength,2,"['long', 'short']"
hasPattern,1,['striped']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
hasAnimalPattern,1,['no animal patterns']
