relationshipType,unique_value_count,unique_values
hasOpeningType,11,"['buckle', 'strap', 'slip-on', 'lace-up', 'sandal', 'closed toe', 'open-toe', 'open toe', 'closed opening', 'closed', 'slip-on opening']"
hasFabricTreatment,9,"['stitched', 'suede', 'smooth', 'suede finish', 'solid', 'no treatment', 'treated fabric', 'embroidery', 'leather treatment']"
hasSilhouette,7,"['flat', 'round', 'sandal', 'pointed-toe', 'slip-on', 'peep-toe', 'loafer']"
hasLeatherType,7,"['full-grain', 'full-grain leather', 'smooth leather', 'smooth', 'cowhide', 'suede', 'smooth-leather']"
hasLength,6,"['short', 'ankle-length', 'flat', 'full', 'ankle-high', 'slip-on']"
belongsToCategory,5,"['shoes', 'headwear', 'upperbody', 'footwear', 'lowerbody']"
depicts,5,"['sandal', 'watch', 'shoes', 'oxford shoes', 'footwear']"
hasNeckline,5,"['round', 'v-neck', 'round neck', 'v neck', 'square-neckline']"
hasSleeveType,4,"['short', 'sleeveless', 'open', 'slip-on']"
hasMaterialType,3,"['leather', 'fabric', 'leather or similar material']"
hasPocketType,3,"['false', 'pockets', 'no pocket']"
hasPattern,2,"['striped', 'solid color']"
hasAnimalPattern,2,"['zebra', 'no']"
hasWaistline,1,['natural']
hasNickname,1,['sneakers']
hasLapelType,1,['no-lapel']
hasCollarType,1,['slip-on']
