relationshipType,unique_value_count,unique_values
hasOpeningType,13,"['button front closure', 'buttonhole', 'front opening', 'buttons up', 'zipper front', 'round neckline', 'zipper closure', 'zipper opening', 'button front', 'button', 'button-front closure', 'button or zipper fastening', 'crew neck opening']"
hasNeckline,8,"['v-neck', 'round neckline', 'crew neck', 'sweetheart neckline', 'crew neckline', 'v-shaped', 'u-neckline', 'round neck']"
hasPattern,7,"['floral', 'striped', 'solid color', 'solid color pattern', 'polka-dot', 'graphic print', 'plaid']"
depicts,7,"['dress', 'shirt', 't-shirt', 'blouse', 'kurta', 'bag', 'tunic']"
hasFabricTreatment,5,"['unlined', 'plain weave', 'non-treated fabric', 'plain weave fabric', 'printed']"
hasCollarType,4,"['round collar', 'crew-neck', 'v-neck', 'round neckline']"
hasLength,4,"['knee-length', 'above the knee', 'short', 'knee-length dress']"
hasWaistline,2,"['natural-waist', 'high-waisted']"
hasSilhouette,2,"['a-line', 'crew neck']"
hasAnimalPattern,2,"['no animal patterns', 'no animal print']"
hasLapelType,2,"['lapelless', 'lapel-less']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['no leather']
hasPocketType,1,['side pockets']
