relationshipType,unique_value_count,unique_values
hasFabricTreatment,15,"['softened', 'soft finish', 'unfinished seams', 'machine washable', 'unlined', 'plain weave', 'no-treatment', 'brushed finish', 'soft fabric', 'unfinished hem', 'no special treatment', 'stretchy', 'perforated', 'untreated', 'washed']"
hasOpeningType,11,"['zipper', 'closed opening', 'button fly', 'zipper opening', 'zipper closure', 'zip fly', 'zip closure', 'fly-front', 'front opening', 'button-fly', 'fly opening']"
hasLength,10,"['ankle-length', 'knee-length', 'capri', 'ankle length', 'long', 'full-length', 'full length', 'full length pants', 'capri length', 'midi']"
hasPattern,7,"['solid pattern', 'striped', 'plain pattern', 'solid color', 'floral print', 'plain weave', 'floral']"
hasNeckline,6,"['straight', 'no neckline', 'crew neckline', 'round neckline', 'round', 'round neck']"
hasPocketType,5,"['side pockets', 'front pockets', 'side-pocket', 'slanted pockets', 'slant pockets']"
hasMaterialType,4,"['cotton', 'cotton material', 'cotton fabric', 'denim']"
hasSleeveType,3,"['long', 'short-sleeve', 'long-sleeve']"
hasWaistline,3,"['high-waisted', 'natural-waist', 'high']"
depicts,2,"['pants', 'shorts']"
hasLapelType,2,"['no-lapel', 'lapelless']"
hasSilhouette,1,['straight']
belongsToCategory,1,['lowerbody']
hasLeatherType,1,['no leather']
hasNickname,1,['salwar']
