1. (33633.jpg, depicts, Bag)
2. (33633.jpg, belongs_to_category, upperbody)
3. (33633.jpg, has_silhouette, A-line silhouette)
4. (33633.jpg, has_waistline, Natural waistline)
5. (33633.jpg, has_length, Short length)
6. (33633.jpg, has_collar_type, No collar)
7. (33633.jpg, has_lapel_type, No lapel)
8. (33633.jpg, has_neckline, No neckline)
9. (33633.jpg, has_sleeve_type, Sleeveless)
10. (33633.jpg, has_pocket_type, Side pockets)
11. (33633.jpg, has_opening_type, Zipper closure)
12. (33633.jpg, has_material_type, Cotton material)
13. (33633.jpg, has_leather_type, No leather)
14. (33633.jpg, has_fabric_treatment, None)
15. (33633.jpg, has_pattern, Plain pattern)
16. (33633.jpg, has_animal_pattern, No animal pattern)
