1. (9975.jpg, depicts, Shirt)
2. (9975.jpg, belongs_to_category, upperbody)
3. (9975.jpg, has_silhouette, Regular silhouette)
4. (9975.jpg, has_waistline, High waist)
5. (9975.jpg, has_length, Short length)
6. (9975.jpg, has_collar_type, Collarless collar)
7. (9975.jpg, has_lapel_type, No lapel)
8. (9975.jpg, has_neckline, V-neck neckline)
9. (9975.jpg, has_sleeve_type, Short sleeves)
10. (9975.jpg, has_pocket_type, Side pockets)
11. (9975.jpg, has_opening_type, Button front opening)
12. (9975.jpg, has_material_type, Cotton material)
13. (9975.jpg, has_leather_type, No leather type)
14. (9975.jpg, has_fabric_treatment, Unfinished fabric treatment)
15. (9975.jpg, has_pattern, Solid pattern)
16. (9975.jpg, has_animal_pattern, No animal pattern)
