1.  (43406.jpg, depicts, Shirt)
2.  (43406.jpg, belongs_to_category, upperbody)
3.  (43406.jpg, has_silhouette, Straight)
4.  (43406.jpg, has_waistline, Natural)
5.  (43406.jpg, has_length, Short)
6.  (43406.jpg, has_collar_type, Spread Collar)
7.  (43406.jpg, has_lapel_type, None)
8.  (43406.jpg, has_neckline, Pointed)
9.  (43406.jpg, has_sleeve_type, Short Sleeves)
10. (43406.jpg, has_pocket_type, Patch Pockets)
11. (43406.jpg, has_opening_type, Button Front)
12. (43406.jpg, has_material_type, Cotton)
13. (43406.jpg, has_leather_type, None)
14. (43406.jpg, has_fabric_treatment, Twill Weave)
15. (43406.jpg, has_pattern, Plaid)
16. (43406.jpg, has_animal_pattern, None)
