1.  (4952.jpg, depicts, Shorts)
2.  (4952.jpg, belongs_to_category, lowerbody)
3.  (4952.jpg, has_silhouette, Straight)
4.  (4952.jpg, has_waistline, High-waisted)
5.  (4952.jpg, has_length, Knee-length)
6.  (4952.jpg, has_collar_type, None)
7.  (4952.jpg, has_lapel_type, None)
8.  (4952.jpg, has_neckline, None)
9.  (4952.jpg, has_sleeve_type, Short sleeves)
10. (4952.jpg, has_pocket_type, Side pockets)
11. (4952.jpg, has_opening_type, Button fly)
12. (4952.jpg, has_material_type, Cotton)
13. (4952.jpg, has_leather_type, None)
14. (4952.jpg, has_fabric_treatment, None)
15. (4952.jpg, has_pattern, Stripes)
16. (4952.jpg, has_animal_pattern, None)
