1.  (3948.jpg, depicts, T-shirt)
2.  (3948.jpg, belongs_to_category, upperbody)
3.  (3948.jpg, has_silhouette, fitted)
4.  (3948.jpg, has_waistline, natural)
5.  (3948.jpg, has_length, short)
6.  (3948.jpg, has_collar_type, crew-neck)
7.  (3948.jpg, has_lapel_type, none)
8.  (3948.jpg, has_neckline, crew-neck)
9.  (3948.jpg, has_sleeve_type, short-sleeved)
10. (3948.jpg, has_pocket_type, no pockets)
11. (3948.jpg, has_opening_type, round neck)
12. (3948.jpg, has_material_type, cotton blend)
13. (3948.jpg, has_leather_type, none)
14. (3948.jpg, has_fabric_treatment, none)
15. (3948.jpg, has_pattern, stripes)
