1. (9038.jpg, depicts, Shoes)
2. (9038.jpg, belongs_to_category, lowerbody)
3. (9038.jpg, has_silhouette, Pointed-Toe)
4. (9038.jpg, has_length, Ankle)
5. (9038.jpg, has_collar_type, None)
6. (9038.jpg, has_lapel_type, None)
7. (9038.jpg, has_neckline, None)
8. (9038.jpg, has_sleeve_type, None)
9. (9038.jpg, has_pocket_type, None)
10. (9038.jpg, has_opening_type, None)
11. (9038.jpg, has_material_type, Leather)
12. (9038.jpg, has_leather_type, Full-Grain)
13. (9038.jpg, has_fabric_treatment, None)
14. (9038.jpg, has_pattern, None)
15. (9038.jpg, has_animal_pattern, None)
