1. (21481.jpg, depicts, Watch)
2. (21481.jpg, belongs_to_category, upperbody)
3. (21481.jpg, has_silhouette, Round)
4. (21481.jpg, has_waistline, None)
5. (21481.jpg, has_length, Short)
6. (21481.jpg, has_collar_type, None)
7. (21481.jpg, has_lapel_type, None)
8. (21481.jpg, has_neckline, None)
9. (21481.jpg, has_sleeve_type, None)
10. (21481.jpg, has_pocket_type, None)
11. (21481.jpg, has_opening_type, None)
12. (21481.jpg, has_material_type, Leather)
13. (21481.jpg, has_leather_type, None)
14. (21481.jpg, has_fabric_treatment, None)
15. (21481.jpg, has_pattern, None)
16. (21481.jpg, has_animal_pattern, None)
