1. (6338.jpg, depicts, Shoes)
2. (6338.jpg, belongs_to_category, lowerbody)
3. (6338.jpg, has_silhouette, Pump)
4. (6338.jpg, has_length, High heel)
5. (6338.jpg, has_collar_type, Strap)
6. (6338.jpg, has_lapel_type, None)
7. (6338.jpg, has_neckline, Round neck)
8. (6338.jpg, has_sleeve_type, Straps)
9. (6338.jpg, has_pocket_type, None)
10. (6338.jpg, has_opening_type, Zipper)
11. (6338.jpg, has_material_type, Fabric)
12. (6338.jpg, has_leather_type, None)
13. (6338.jpg, has_fabric_treatment, Stiffening)
14. (6338.jpg, has_pattern, Plain)
15. (6338.jpg, has_animal_pattern, None)
