1. (6462.jpg, depicts, Shoes)
2. (6462.jpg, belongs_to_category, lowerbody)
3. (6462.jpg, has_silhouette, Pointed toe)
4. (6462.jpg, has_waistline, None)
5. (6462.jpg, has_length, Short)
6. (6462.jpg, has_collar_type, Collarless)
7. (6462.jpg, has_lapel_type, No lapel)
8. (6462.jpg, has_neckline, Round neckline)
9. (6462.jpg, has_sleeve_type, Long sleeves)
10. (6462.jpg, has_pocket_type, None)
11. (6462.jpg, has_opening_type, Zipper)
12. (6462.jpg, has_material_type, Leather)
13. (6462.jpg, has_leather_type, Full grain leather)
14. (6462.jpg, has_fabric_treatment, Soft finish)
