1. (39489.jpg, depicts, Backpack)
2. (39489.jpg, belongs_to_category, lowerbody)
3. (39489.jpg, has_silhouette, Trapezoid)
4. (39489.jpg, has_waistline, High Waist)
5. (39489.jpg, has_length, Long)
6. (39489.jpg, has_collar_type, None)
7. (39489.jpg, has_lapel_type, None)
8. (39489.jpg, has_neckline, Round Neck)
9. (39489.jpg, has_sleeve_type, Short Sleeves)
10. (39489.jpg, has_pocket_type, No Pockets)
11. (39489.jpg, has_opening_type, Zipper Closure)
12. (39489.jpg, has_material_type, Nylon)
13. (39489.jpg, has_leather_type, None)
14. (39489.jpg, has_fabric_treatment, Perforated)
15. (39489.jpg, has_pattern, Solid Color)
