1. (45639.jpg, depicts, Underwear)
2. (45639.jpg, belongs_to_category, lowerbody)
3. (45639.jpg, has_silhouette, Brief silhouette)
4. (45639.jpg, has_waistline, Mid-waist)
5. (45639.jpg, has_length, Short length)
6. (45639.jpg, has_collar_type, No collar)
7. (45639.jpg, has_lapel_type, No lapel)
8. (45639.jpg, has_neckline, No neckline)
9. (45639.jpg, has_sleeve_type, Sleeveless)
10. (45639.jpg, has_pocket_type, No pockets)
11. (45639.jpg, has_opening_type, Open at the front)
12. (45639.jpg, has_material_type, Cotton blend)
13. (45639.jpg, has_leather_type, N/A)
14. (45639.jpg, has_fabric_treatment, Stretchable)
15. (45639.jpg, has_pattern, Solid pattern)
16. (45639.jpg, has_animal_pattern, N/A)
