relationshipType,unique_value_count,unique_values
hasOpeningType,9,"['closed', 'slip-on', 'lace-up front', 'slip on', 'open', 'velcro', 'open-toed', 'open toe', 'flat']"
hasMaterialType,5,"['rubber', 'synthetic', 'fabric', 'leather', 'textile']"
hasPattern,4,"['floral', 'striped', 'animal', 'solid color']"
hasLength,3,"['short', 'long', 'flat']"
hasFabricTreatment,3,"['no treatment', 'textured', 'perforated']"
hasPocketType,3,"['pocketless', 'no pocket', 'pockets']"
hasSleeveType,2,"['sleeveless', 'short']"
hasNeckline,2,"['flat', 'round']"
hasSilhouette,1,['flat']
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
hasWaistline,1,['natural']
hasAnimalPattern,1,['bird']
