relationshipType,unique_value_count,unique_values
hasOpeningType,8,"['buckle', 'one opening', 'buckle closure', 'button', 'button fastening', 'closed', 'strap', 'button front']"
hasFabricTreatment,5,"['polished', 'polished finish', 'smooth', 'polished metal', 'textured']"
hasNeckline,4,"['round', 'circular', 'no neckline', 'straight']"
belongsToCategory,4,"['head', 'upperbody', 'headwear', 'lowerbody']"
hasSleeveType,4,"['sleeveless', 'short', 'long', 'long-sleeve']"
hasMaterialType,3,"['metal', 'leather', 'rubber']"
hasSilhouette,3,"['round', 'circular', 'square']"
hasPattern,3,"['solid color', 'geometric', 'striped']"
hasLength,2,"['short', 'medium']"
depicts,1,['watch']
hasLeatherType,1,['no leather']
hasLapelType,1,['lapelless']
hasNickname,1,['timepiece']
