Since there is no image provided, we cannot extract information from it. However, here are some general triples for a dress:

* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, depicts, Dress
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, belongs_to_category, Upperbody
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_silhouette, A-line
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_waistline, Natural
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_length, Knee-length
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_neckline, V-neck
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_sleeve_type, Short Sleeves
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_material_type, Cotton
* Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho_0, has_pattern, Floral

Please note that these triples are based on general knowledge and may not be accurate for a specific dress.
