relationshipType,unique_value_count,unique_values
hasFabricTreatment,8,"['treated with dye or pigment', 'textured', 'waterproof', 'perforated', 'non-sheer', 'breathable mesh', 'suede', 'smooth']"
hasLength,6,"['short', 'flat', 'slip-on', 'ankle-high', 'ankle-length', 'low-top']"
hasPattern,6,"['solid color', 'striped', 'solid-color', 'geometric', 'floral', 'polka-dot']"
hasSilhouette,4,"['flat', 'round', 'slip-on', 'round toe']"
hasNeckline,4,"['v-neck', 'round', 'round neckline', 'round neck']"
hasMaterialType,3,"['synthetic', 'fabric', 'leather']"
hasOpeningType,3,"['slip-on', 'shoes', 'velcro']"
hasSleeveType,3,"['slip-on', 'sleeveless', 'short-sleeve']"
belongsToCategory,2,"['lowerbody', 'shoes']"
hasPocketType,2,"['no-pockets', 'no pocket']"
depicts,1,['shoes']
hasLeatherType,1,['full-grain leather']
hasWaistline,1,['no-waist']
