relationshipType,unique_value_count,unique_values
hasSilhouette,12,"['round', 'flat', 'closed', 'sandal', 'slip-on', 'open toe', 'pointed', 'closed-toe', 'pointed-toe', 'pointed toe', 'round toe', 'loafer']"
hasLeatherType,10,"['full-grain', 'smooth', 'calf', 'calfskin', 'full-grain leather', 'full grain leather', 'nubuck', 'smooth leather', 'smooth-leather', 'cowhide']"
hasOpeningType,8,"['slip-on', 'lace-up', 'open toe', 'closed', 'slip-on shoes', 'closed toe', 'slit-opening', 'closed-toe']"
hasLength,8,"['short', 'low-top', 'ankle-length', 'flat', 'full', 'ankle-high', 'low', 'slip-on']"
hasFabricTreatment,5,"['suede', 'suede finish', 'polished', 'smooth', 'perforated']"
hasSleeveType,5,"['slip-on', 'sleeveless', 'short', 'short-sleeve', 'short sleeveless']"
hasWaistline,4,"['high', 'natural', 'high-waisted', 'no-waist']"
hasMaterialType,3,"['leather', 'fabric', 'synthetic']"
hasNeckline,3,"['round', 'round-neck', 'open neckline']"
hasPattern,2,"['striped', 'solid color']"
hasPocketType,2,"['no-pockets', 'non-pocketed']"
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
hasNickname,1,['sneakers']
hasCollarType,1,['slip-on']
