relationshipType,unique_value_count,unique_values
hasFabricTreatment,15,"['softened', 'soft', 'plain weave', 'unfinished seams', 'no special treatment', 'non-textured', 'stain-resistant', 'soft fabric', 'washed', 'stretchy', 'solid', 'twill weave', 'perforated', 'unbleached', 'wrinkle-resistant']"
hasOpeningType,14,"['zipper', 'button fly', 'zipped fly', 'open back', 'open-front', 'button', 'fly', 'zipper fly', 'zipper closure', 'v-neck', 'button-fly', 'zipper or button fly', 'button front', 'side opening']"
hasPocketType,12,"['side pockets', 'side', 'front pockets', 'side pocket', 'chest pocket', 'pockets', 'front pocket', 'front', 'normal', 'no pocket', 'slant', 'pocketless']"
hasLength,8,"['midi', 'ankle-length', 'long', 'above-the-knee', 'above the knee', 'short', 'knee-length', 'full length']"
hasSleeveType,6,"['short-sleeve', 'long', 'sleeveless', 'shorts', 'straight', 'short']"
hasWaistline,6,"['high-waisted', 'high', 'low-rise', 'natural', 'low rise', 'natural-waist']"
hasPattern,5,"['solid color', 'striped', 'plaid', 'plain pattern', 'geometric']"
hasNeckline,5,"['round', 'straight', 'no neckline', 'round neck', 'round neckline']"
depicts,5,"['shorts', 'pants', 'bag', 'shirt', 'headband']"
belongsToCategory,3,"['lowerbody', 'upperbody', 'head']"
hasMaterialType,2,"['cotton', 'fabric']"
hasCollarType,2,"['pointed', 'spread-collar']"
hasSilhouette,1,['straight']
hasLeatherType,1,['no leather']
