relationshipType,unique_value_count,unique_values
hasCollarType,12,"['crew', 'spread-collar', 'button-down', 'collared', 'v-neck', 'pointed', 'crew-neck', 'notch', 'classic', 'crew neck collar', 'mandarin-collar', 'open']"
hasOpeningType,11,"['zipper', 'button front', 'button', 'zipper closure', 'button-up', 'tube', 'front opening', 'round neckline', 'crew neck opening', 'cap-sleeve', 'buttons']"
hasNeckline,11,"['round neck', 'round', 'crew', 'spread', 'notch', 'crew neck', 'classic', 'v-neck', 'crew-neck', 'mandarin', 'crewneck']"
hasMaterialType,10,"['plastic', 'cotton', 'glossy', 'liquid', 'cotton blend', 'lip gloss material', 'synthetic fabric', 'synthetic', 'acrylic', 'matte']"
hasSilhouette,10,"['oval', 'regular', 'straight', 'fitted', 'pointed', 'tube', 'fitted silhouette', 'round', 'a-line', 'regular silhouette']"
hasPattern,7,"['plaid', 'striped', 'graphic', 'floral', 'solid color', 'cartoon character pattern', 'stripe']"
hasFabricTreatment,7,"['plain weave', 'glossy', 'shiny', 'stretchy', 'printed', 'non-treated', 'soft touch']"
hasNickname,6,"['lipstick', 'red lipstick', 'pink gloss', 'blouse', 'red', 'shine']"
depicts,6,"['lip gloss', 't-shirt', 'shirt', 'lipstick', 'sports bra', 'nail polish']"
hasSleeveType,4,"['long-sleeve', 'short', 'sleeveless', 'short-sleeve']"
hasWaistline,4,"['natural', 'high-waisted', 'straight', 'high']"
hasPocketType,3,"['no pocket', 'chest pocket', 'patch']"
hasLength,2,"['short', 'regular']"
belongsToCategory,1,['upperbody']
hasAnimalPattern,1,['absent']
hasLeatherType,1,['absent']
hasLapelType,1,['absent']
