Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu,0.62943363,0.5541557,0.68948275,0.05123261,0.6041012,0.54118836,0.64687073,0.04265402
Stoln_Adults-Women_Women_Orange_Fashion_Summer_2012_Casual_Handbags_Accessories_Bags,0.60049695,0.5293771,0.72180736,0.075155705,0.43309253,0.3555198,0.48889402,0.051589362
Wildcraft_Adults-Unisex_Unisex_Olive_Fashion_Winter_2015_Casual_Casual_Medium_NA_Leather_Drawstring_,0.51931065,0.43087667,0.5879504,0.059940435,0.45246568,0.39777786,0.510452,0.039905455
Tonga_Adults-Women_Women_Blue_Fashion_Summer_2012_Casual_Printed_Garment_Measurements_in_Fit_and_Fla,0.5633095,0.3498162,0.6814181,0.1165629,0.5697272,0.50208974,0.63276565,0.046806257
Fabindia_Adults-Women_Women_Cream_Fashion_Summer_2012_Ethnic_Printed_Daily_Without_Blouse_Piece_Ethn,0.48960638,0.38032046,0.55464953,0.06630173,0.44488445,0.42060074,0.47253707,0.017176587
Catwalk_Adults-Women_Women_Gold_Fashion_Winter_2015_Casual_Sandals_Open_Toe_Ankle_Loop_Casual_Block_,0.46407118,0.35011014,0.54583883,0.06464401,0.44877988,0.38712555,0.56117976,0.06479963
Titan_Adults-Women_Women_Maroon_Fashion_Winter_2016_Casual_30_m_Analogue_Watches_Accessories_Watches,0.43491206,0.38964632,0.5104262,0.050671853,0.4088169,0.36621854,0.54092914,0.06724389
Gini_and_Jony_Kids-Boys_Boys_Navy_Blue_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurem,0.59970033,0.47759482,0.67523783,0.06622156,0.55712754,0.4795884,0.6331662,0.057496164
Franco_Leone_Adults-Men_Men_Black_Fashion_Summer_2012_Formal_Formal_Shoes_Footwear_Shoes,0.5724297,0.44026923,0.64797467,0.07474053,0.5060409,0.39916313,0.59639955,0.08208721
Baggit_Adults-Women_Women_Black_Fashion_Summer_2015_Casual_NA_Clutches_Accessories_Bags,0.4322524,0.26856303,0.5971016,0.13304901,0.5140132,0.45413148,0.6338366,0.065099284
Elle_Adults-Women_Women_Peach_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_in,0.5663827,0.4031371,0.66871923,0.096694954,0.51415855,0.35235316,0.60395527,0.09011971
Gini_and_Jony_Kids-Boys_Boys_Red_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements,0.6358579,0.526097,0.7265015,0.07584219,0.5635977,0.4895526,0.63416517,0.04580324
Revlon_Adults-Women_Women_Gold_Core_Spring_2017_Casual_Nail_Polish_Personal_Care_Nails,0.5452339,0.5215679,0.5773646,0.018932948,0.5168961,0.47436687,0.549565,0.024964899
BOSS_Adults-Men_Men_Silver_Core_Spring_2017_Casual_Perfume_and_Body_Mist_Personal_Care_Fragrance,0.29646918,0.20333786,0.49581528,0.10575907,0.31184795,0.2273335,0.40526536,0.0706258
Hanes_Adults-Women_Women_Skin_Core_Winter_2015_Sports_Non-Wired_Single_Elastane_NA_Non_Padded_Full_C,0.56003803,0.51461077,0.5838908,0.025076713,0.45812893,0.33435193,0.50513375,0.06288183
,0.527300299333333,0.42263202,0.617611912,0.0720550812,0.486911914,0.412090777333333,0.561007684666667,0.0552835558666667
