Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Angry_Birds_Adults-Women_Women_Green_Fashion_Summer_2015_Casual_Printed_Garment_Measurements_in_Shor,0.5385883,0.4586485,0.5851955,0.046192978,0.4595996,0.4036592,0.5273138,0.02783961
Enroute_Women_Adults-Women_Women_Navy_Blue_Fashion_Summer_2012_Casual_Driving_Shoes_Casual_Shoes_Foo,0.5254595,0.49509597,0.5686967,0.0242236,0.51675093,0.41784534,0.58678365,0.05741514
FNF_Adults-Women_Women_Purple_Fashion_Fall_2012_Ethnic_Cotton_Blend_Cotton_Blend_Sarees_Apparel_Sare,0.5478812,0.45919695,0.62020326,0.061295167,0.5653043,0.44849697,0.6531488,0.06615382
Playboy_Adults-Women_Women_Pink_Core_Spring_2017_Casual_1_NA_3_NA_60_24_Perfume_NA_NA_NA_Mild_NA_Fre,0.32749406,0.23886266,0.3831711,0.053493552,0.27468836,0.23192704,0.32551816,0.03514749
FILA_Adults-Men_Men_Black_Fashion_Fall_2011_Casual_Casual_Shoes_Footwear_Shoes,0.42261654,0.34315273,0.4676123,0.043312553,0.40894678,0.37640635,0.5061739,0.027282523
Femella_Adults-Women_Women_Blue_Fashion_Summer_2012_Casual_Solid_To-Fit_Denotes_Body_Measurements_in,0.6392721,0.57755446,0.70739794,0.043601282,0.6293117,0.60276717,0.66158956,0.021036627
Portia_Adults-Women_Women_Brown_Fashion_Winter_2012_Casual_Open_Toe_Synthetic_Slip-On_Casual_Flats_F,0.45680547,0.42191994,0.5233979,0.03969924,0.45874766,0.339216,0.5323002,0.079450816
Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.5748291,0.4454644,0.70890146,0.09948721,0.51410043,0.41461715,0.6119271,0.064301535
"Lino_Perros_Adults-Men_Men_Blue_Fashion_Winter_2015_Formal_Tie,_Cufflinks,_Pocket_Square_1_Accessory",0.56645375,0.5333447,0.6106752,0.025304785,0.5503423,0.5081569,0.66148514,0.03883728
FILA_Adults-Men_Men_Grey_Fashion_Fall_2012_Casual_Sneakers_Synthetic_Velcro_Mid-Top_Casual_Shoes_Foo,0.4789489,0.41156805,0.56024635,0.051372778,0.39461166,0.36348668,0.4181633,0.01971424
Basics_Adults-Men_Men_Orange_Fashion_Fall_2011_Casual_Solid_Garment_Measurements_in_Short_Sleeves_Ca,0.7067448,0.68879116,0.72556895,0.015018929,0.67228246,0.5195892,0.76640713,0.08955152
United_Colors_of_Benetton_Adults-Women_Women_Olive_Fashion_Fall_2011_Casual_To-Fit_Denotes_Body_Meas,0.6160165,0.5935141,0.64387244,0.021187896,0.5063255,0.307483,0.64735067,0.12520435
Jockey_Adults-Women_Women_Burgundy_Core_Winter_2015_Casual_Floral_NA_Briefs_Apparel_Innerwear,0.21161601,0.14539784,0.2632974,0.039472274,0.18233947,0.11965014,0.25098541,0.061164785
Arrow_Sport_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measurements_i,0.73167914,0.6942634,0.7672095,0.02689466,0.6695876,0.61554456,0.7480731,0.047425386
ADIDAS_Adults-Men_Men_Blue_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_in_Sh,0.7182965,0.65086854,0.8129893,0.055005692,0.60946256,0.49894834,0.6964661,0.06977125
,0.537513458,0.477176226666667,0.596562353333333,0.0430375064,0.494160087333333,0.411186269333333,0.572912401333333,0.0553530914666667
