Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Catwalk_Adults-Women_Women_Green_Fashion_Winter_2015_Casual_Sandals_Open_Toe_Ankle_Loop_Casual_Block,0.383897,0.34929198,0.42753935,0.025242535,0.3622914,0.32228765,0.45941737,0.049414806
Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles,0.52099895,0.45511615,0.60524344,0.050913468,0.47711784,0.4079177,0.5522579,0.055734012
Little_Miss_Adults-Women_Women_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurement,0.55933005,0.47682014,0.6561748,0.06739598,0.50428634,0.4535968,0.64241385,0.050545525
U.S._Polo_Assn._Adults-Men_Men_Navy_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measur,0.56120354,0.51026344,0.61044,0.03404019,0.5646364,0.54759926,0.6046038,0.02060199
Gini_and_Jony_Kids-Boys_Boys_Yellow_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurement,0.5468433,0.47424915,0.6638827,0.07110266,0.5401112,0.4486186,0.6283077,0.07495801
French_Connection_Adults-Women_Women_Maroon_Fashion_Summer_2012_Casual_Clutches_Accessories_Bags,0.5602994,0.5069131,0.61490595,0.035557184,0.56707096,0.5019994,0.7095666,0.07343224
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Sports_Sports_Shoes_Footwear_Shoes,0.4977827,0.42833635,0.5281195,0.035699625,0.44795084,0.40293548,0.48164225,0.032791466
Arrow_Adults-Men_Men_Black_Fashion_Summer_2012_Formal_Formal_Shoes_Footwear_Shoes,0.57395077,0.5214991,0.63503224,0.039361164,0.5664407,0.4896421,0.6227436,0.04304774
United_Colors_of_Benetton_Adults-Women_Women_Lavender_Fashion_Summer_2011_Casual_Scarves_Accessories,0.552694,0.51419777,0.59304905,0.027095081,0.501719,0.3964362,0.60059726,0.0761728
Fossil_Adults-Women_Women_Grey_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.52591157,0.47414687,0.58002067,0.03912353,0.48366126,0.42931738,0.53758174,0.04454005
ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts,0.3566274,0.28950715,0.42896175,0.052348044,0.30675048,0.24989903,0.44929582,0.07286066
Femella_Adults-Women_Women_Blue_Fashion_Summer_2017_Casual_Garment_Measurements_in_Nightdress_Appare,0.5703892,0.4261856,0.63674265,0.08169966,0.5006957,0.42077126,0.69735725,0.09853334
Forever_New_Adults-Women_Women_Cream_Fashion_Summer_2011_Casual_Blended_Garment_Measurements_in_Jack,0.5447402,0.49735925,0.6363821,0.0553912,0.5103428,0.4898459,0.5198102,0.010735146
,0.519589852307692,0.455683542307692,0.585884169230769,0.0473054093076923,0.487159609230769,0.427758981538462,0.577353487692308,0.0541052142307692
