relationshipType,unique_value_count,unique_values
hasNeckline,10,"['pointed', 'spread neckline', 'pointed neckline', 'pointed collar', 'v-neck', 'classic', 'cutaway neckline', 'crew neck', 'regular', 'cutaway']"
hasPocketType,10,"['patch pockets', 'no pocket', 'patch', 'chest pockets', 'chest pocket', 'slant', 'nonfunctional', 'side pockets', 'side seam pocket', 'side pocket']"
hasFabricTreatment,7,"['plain weave', 'unfinished seams', 'solid', 'no treatment', 'brushed', 'unlined', 'plain weaved']"
hasLength,7,"['long', 'full length', 'medium', 'full', 'long sleeve', 'regular', 'long sleeves']"
hasCollarType,6,"['spread-collar', 'pointed-collar', 'pointed', 'button down collar', 'mandarin-collar', 'notch-collar']"
hasPattern,4,"['striped', 'striped pattern', 'plaid', 'checkered']"
hasOpeningType,4,"['button front', 'button', 'front opening', 'button-down']"
hasSilhouette,4,"['straight', 'regular fit', 'fitted', 'regular']"
hasLapelType,4,"['notch lapel', 'notch', 'peak lapel', 'pointed']"
hasSleeveType,3,"['long-sleeve', 'full', 'long']"
hasWaistline,3,"['natural', 'natural-waist', 'high']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
hasAnimalPattern,1,['no']
hasNickname,1,['dress shirt']
