1. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, depicts, Watch.
2. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, belongs_to_category, Upperbody.
3. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_silhouette, Circular.
4. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_waistline, None.
5. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_length, Short.
6. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_collar_type, None.
7. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_lapel_type, None.
8. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_neckline, None.
9. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_sleeve_type, None.
10. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_opening_type, None.
11. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_material_type, Stainless steel.
12. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_leather_type, None.
13. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_fabric_treatment, None.
14. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_pattern, None.
15. Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_3, has_animal_pattern, None.
