relationshipType,unique_value_count,unique_values
depicts,12,"['bag', 't-shirt', 'ring', 'shoes', 'wallet', 'top', 'watch', 'dress', 'handbag', 'shirt', 'clutch', 'bra']"
hasSilhouette,11,"['rectangular', 'regular', 'round', 'flat', 'fitted', 'straight', 'circle', 'sheath', 'a-line', 'slim_fit', 'trapezoidal']"
hasFabricTreatment,9,"['plain weave', 'waterproof', 'stretchy', 'solid', 'printed', 'treated', 'stretch', 'un-treated', 'no treatment']"
hasNeckline,9,"['round neck', 'round', 'v-neck', 'straight neck', 'no-neckline', 'straight', 'plunging', 'no neckline', 'crewneck']"
hasPocketType,9,"['no pocket', 'pockets', 'zipper', 'single', 'interior pocket', 'pocketless', 'internal', 'external', 'side_pockets']"
hasMaterialType,6,"['fabric', 'leather', 'cotton', 'nylon', 'synthetic', 'velvet']"
hasSleeveType,5,"['long-sleeve', 'sleeveless', 'short', 'long', 'no-sleeves']"
belongsToCategory,5,"['lowerbody', 'upperbody', 'headwear', 'bag', 'wholebody']"
hasPattern,5,"['solid color', 'striped', 'floral', 'stripe', 'plain pattern']"
hasWaistline,4,"['high', 'natural', 'no waist', 'high-waisted']"
hasLength,3,"['short', 'long', 'medium']"
hasCollarType,3,"['open', 'notch', 'spread_colllar']"
hasOpeningType,1,['zipper']
hasNickname,1,['clutch']
hasLeatherType,1,['smooth leather']
hasAnimalPattern,1,['bird']
