relationshipType,unique_value_count,unique_values
hasFabricTreatment,9,"['smooth', 'plain weave', 'suede', 'non-woven fabric', 'textured', 'unfinished', 'suede finish', 'no treatment', 'solid']"
hasOpeningType,9,"['slip-on', 'closed', 'zipper', 'closed toe and closed heel', 'lace-up front', 'slip on', 'closed opening', 'closed toe', 'open toe']"
hasNeckline,7,"['round', 'round neckline', 'open', 'flat', 'round neck', 'v-neck', 'straight']"
hasLeatherType,6,"['calf', 'no leather', 'full grain leather', 'nubuck', 'full-grain leather', 'cowhide']"
hasMaterialType,5,"['fabric', 'leather', 'rubber', 'synthetic', 'textile']"
hasPocketType,4,"['no pocket', 'pockets', 'no_pockets', 'pocketless']"
hasPattern,3,"['striped', 'floral', 'solid color']"
hasLength,3,"['short', 'ankle-length', 'low']"
hasWaistline,3,"['natural', 'high', 'no waist']"
hasSleeveType,2,"['sleeveless', 'short']"
hasSilhouette,2,"['flat', 'closed']"
belongsToCategory,2,"['lowerbody', 'upperbody']"
depicts,1,['shoes']
hasCollarType,1,['open']
hasAnimalPattern,1,['no']
