relationshipType,unique_value_count,unique_values
hasPocketType,8,"['pockets', 'no pocket', 'single-chest pocket', 'patch pocket', 'side pocket', 'side pockets', 'pocketless', 'patch pockets']"
hasCollarType,8,"['round', 'v-neck', 'pointed', 'crew-neck', 'notch', 'mandarin-collar', 'round neck', 'button-down']"
hasLength,7,"['short', 'knee-length', 'above-the-knee', 'above the knee', 'midi', 'above-knee', 'long']"
hasFabricTreatment,7,"['brushed', 'unfused', 'plain weave', 'stretch', 'printed', 'print', 'embroidery']"
hasSleeveType,6,"['long-sleeve', 'short-sleeve', 'short', 'sleeveless', 'cap', 'three quarter']"
hasPattern,5,"['striped', 'floral', 'solid color', 'stripe', 'geometric']"
hasOpeningType,5,"['zipper', 'button', 'buttonhole', 'button-down', 'button front']"
hasNeckline,5,"['round', 'v-neck', 'round neck', 'round neckline', 'classic']"
depicts,5,"['bag', 'shirt', 'dress', 'blouse', 't-shirt']"
hasSilhouette,4,"['a-line', 'regular', 'fitted', 'straight']"
hasMaterialType,3,"['polyester', 'cotton', 'cotton or polyester blend']"
hasWaistline,3,"['natural', 'fitted', 'high-waisted']"
belongsToCategory,1,['upperbody']
hasAnimalPattern,1,['flower pattern']
hasNickname,1,['little black dress']
hasLapelType,1,['lapelless']
