relationshipType,unique_value_count,unique_values
hasLength,11,"['low-top', 'ankle-length', 'short', 'ankle length', 'slip-on', 'midi', 'ankle-high', 'low-heel', 'full', 'low heel', 'low-rise']"
hasLeatherType,10,"['full-grain', 'smooth', 'no leather', 'full-grain leather', 'calfskin', 'full grain', 'cowhide', 'nubuck', 'full grain leather', 'smooth-leather']"
hasSilhouette,9,"['slip-on', 'pointed toe', 'peep-toe', 'loafers', 'pointed', 'flat', 'round', 'pointed-toe', 'loafer']"
hasFabricTreatment,8,"['perforated', 'suede finish', 'unfinished', 'suede', 'waterproof', 'lined', 'smooth', 'polished']"
hasNeckline,7,"['round neckline', 'no neckline', 'v-neck', 'round', 'closed neckline', 'round neck', 'square-neckline']"
hasOpeningType,6,"['slip-on', 'slip-on opening', 'closed-toe', 'zipper', 'closed', 'lace-up']"
hasMaterialType,5,"['leather', 'synthetic material', 'textile', 'suede', 'fabric']"
hasSleeveType,4,"['slip-on', 'sleeveless', 'closed', 'short']"
hasPattern,4,"['solid color', 'houndstooth', 'striped', 'polka-dot']"
depicts,2,"['shoes', 'shoe']"
hasLapelType,2,"['no lapels', 'no-lapel']"
belongsToCategory,1,['lowerbody']
hasAnimalPattern,1,['no animal patterns']
hasNickname,1,['sneakers']
hasCollarType,1,['slip-on']
