relationshipType,unique_value_count,unique_values
hasOpeningType,10,"['zipper closure', 'button front', 'round neckline', 'zipper opening', 'zipper', 'front opening', 'button', 'button-front opening', 'vented', 'buttons']"
hasPattern,6,"['floral', 'striped pattern', 'striped', 'polka-dot', 'geometric', 'solid color']"
hasLength,6,"['knee-length', 'knee-length dress', 'above the knee', 'long', 'mid-calf length', 'maxi-length']"
hasMaterialType,5,"['cotton', 'cotton material', 'cotton fabric', 'silk', 'satin']"
hasSleeveType,5,"['short-sleeve', 'sleeveless', 'long', 'long-sleeve', 'three-quarter-sleeve']"
hasFabricTreatment,5,"['plain weave', 'unfinished seams', 'dobby', 'print', 'printed']"
hasWaistline,4,"['natural', 'high-waisted', 'natural-waist', 'natural waistline']"
hasNeckline,3,"['v-neck', 'v-neckline', 'round']"
hasCollarType,2,"['v-neck', 'round neck']"
belongsToCategory,2,"['upperbody', 'wholebody']"
hasSilhouette,1,['a-line']
depicts,1,['dress']
hasLapelType,1,['notch lapel']
