relationshipType,unique_value_count,unique_values
hasFabricTreatment,10,"['perforated', 'unfinished', 'suede', 'suede finish', 'waterproof', 'smooth', 'plain weave', 'lined', 'smooth finish', 'polished']"
hasSilhouette,10,"['slip-on', 'loafers', 'sandal', 'flat', 'pointed toe', 'round', 'pointed toe and low vamp', 'pointed-toe', 'loafer', 'open toe']"
hasLength,8,"['short', 'ankle-length', 'ankle-high', 'flat', 'full', 'low-top', 'low ankle length', 'slip-on']"
hasLeatherType,7,"['no leather', 'full-grain', 'full-grain leather', 'smooth', 'cowhide', 'full grain', 'smooth-leather']"
hasMaterialType,7,"['synthetic material', 'leather', 'fabric', 'synthetic leather', 'suede', 'synthetic', 'textile']"
hasOpeningType,6,"['slip-on', 'shoes', 'lace-up front', 'closed-toe', 'zipper', 'closed']"
hasNeckline,6,"['round neckline', 'no neckline', 'round neck', 'round', 'square-neckline', 'u-neck']"
hasSleeveType,5,"['sleeveless', 'slip-on', 'short', 'short-sleeve', 'open']"
hasPattern,4,"['solid color', 'striped', 'houndstooth', 'polka-dot']"
belongsToCategory,2,"['lowerbody', 'shoes']"
hasAnimalPattern,2,"['no animal patterns', 'zebra']"
hasLapelType,2,"['no-lapel', 'lapel-less']"
hasPocketType,2,"['pocketless', 'no pocket']"
depicts,1,['shoes']
hasNickname,1,['sneakers']
hasCollarType,1,['slip-on']
