relationshipType,unique_value_count,unique_values
hasOpeningType,14,"['full opening', 'zipper', 'button', 'zip', 'buttonhole', 'button-front closure', 'zip front', 'front opening', 'button-up', 'button front', 'front-opening', 'crew neck', 'button-down', 'round neck']"
hasLength,9,"['short', 'above-the-knee', 'below the knee', 'above the knee', 'knee-length', 'regular', 'above-knee', 'sleeveless', 'midi']"
hasPocketType,7,"['no pocket', 'single-chest pocket', 'pocketless', 'pocket-less', 'patch pocket', 'patch pockets', 'patch']"
hasCollarType,7,"['round', 'scoop neck', 'crew-neck', 'classic', 'notch', 'crew', 'spread-collar']"
hasNeckline,6,"['round', 'v-neck', 'crew neck', 'crew', 'scoop', 'crewneck']"
depicts,6,"['shirt', 'dress', 'blouse', 't-shirt', 'bag', 'tank top']"
hasSilhouette,5,"['straight', 'a-line', 'fitted', 'regular', 'sleeveless']"
hasPattern,4,"['striped', 'floral', 'solid color', 'geometric']"
hasFabricTreatment,4,"['plain weave', 'unfused', 'unbleached', 'plain-weave']"
hasSleeveType,4,"['short-sleeve', 'short', 'sleeveless', 'long-sleeve']"
hasWaistline,3,"['natural', 'fitted', 'straight']"
hasAnimalPattern,2,"['flower pattern', 'elephant']"
hasMaterialType,1,['cotton']
hasLapelType,1,['lapelless']
belongsToCategory,1,['upperbody']
hasNickname,1,['blouse']
