relationshipType,unique_value_count,unique_values
hasCollarType,18,"['classic collar', 'polo collar', 'non-collared', 'spread-collar', 'crew-neck', 'pointed-collar', 'open collar', 'collared', 'turned-down collar', 'round neck', 'button down collar', 'button-down', 'classic spread collar', 'notch', 'stand-up collar', 'notch-collar', 'v-neck', 'buttoned collar']"
hasOpeningType,14,"['button-down opening', 'button front', 'zipper', 'round', 'button', 'buttons', 'round neck', 'round neckline', 'zipper front', 'zip closure', 'crew neck', 'buttoned front', 'zip front', 'buttoned opening']"
hasSilhouette,8,"['regular fit', 'straight', 'regular', 'fitted', 'slim-fit', 'a-line', 'crew neck', 'striped']"
hasWaistline,7,"['natural-waist', 'natural', 'no waist', 'high-waisted', 'natural waistline', 'high', 'fitted']"
hasFabricTreatment,7,"['unfinished', 'no treatment', 'plain weave', 'unlined', 'brushed', 'perforated', 'unfinished seams']"
hasPocketType,7,"['side-pockets', 'side pocket', 'pocketless', 'patch pocket', 'side pockets', 'chest pocket', 'patch pockets']"
hasNeckline,6,"['crew neck', 'round', 'round neckline', 'crew-neck', 'round neck', 'v-neck']"
hasLength,3,"['short', 'full-length', 'short-sleeve']"
depicts,3,"['shirt', 'pants', 't-shirt']"
hasLapelType,3,"['absent', 'lapel-less', 'pointed']"
hasPattern,2,"['striped', 'plaid']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
hasLeatherType,1,['no leather']
