relationshipType,unique_value_count,unique_values
hasOpeningType,15,"['button fly', 'open front', 'zipper closure', 'snap-button', 'zipper', 'openings at the crotch', 'button front', 'open-front', 'open-fronted', 'zip', 'button', 'crotch opening', 'fly front zipper', 'zip fly', 'front opening']"
hasSilhouette,13,"['a-line', 'briefs', 'bodycon', 'slim-fit', 'body-hugging', 'straight', 'fitted', 'boyshorts', 'hipster', 'form-fitting', 'brief silhouette', 'slimming', 'hugging']"
hasNeckline,10,"['round neckline', 'no neckline', 'crew neck', 'round-neck', 'no-neckline', 'straight', 'round neck', 'classic', 'v-neck', 'round']"
hasFabricTreatment,10,"['plain weave', 'plain-weave', 'stretchy', 'soft', 'perforated', 'no treatment', 'washed', 'no treatment or technique mentioned', 'stretchable fabric', 'non-stretch']"
hasWaistline,8,"['high-waisted', 'low-waisted', 'low-rise', 'fitted', 'natural-waist', 'high', 'natural', 'no waist']"
depicts,7,"['shorts', 'underwear', 'briefs', 'shirt', 'pants', 'lowerbody', 'boxer shorts']"
hasPocketType,6,"['side pockets', 'no-pockets', 'no-pocket', 'pocketless', 'slant pocket', 'side seam pockets']"
hasPattern,5,"['solid color', 'solid-color', 'striped', 'stripe', 'floral']"
hasSleeveType,3,"['short-sleeve', 'sleeveless', 'short']"
hasCollarType,3,"['spread-collar', 'pointed-collar', 'notch']"
hasNickname,3,"['bikini bottoms', 'jockstrap', 'briefs']"
hasLeatherType,2,"['no leather', 'no-leather']"
hasLength,2,"['short', 'above-the-knee']"
belongsToCategory,2,"['lowerbody', 'upperbody']"
hasMaterialType,1,['cotton']
hasAnimalPattern,1,['no-animal pattern']
hasLapelType,1,['no-lapel']
