relationshipType,unique_value_count,unique_values
hasFabricTreatment,13,"['unfinished', 'smooth', 'textured fabric', 'suede', 'perforated', 'embroidery', 'breathable mesh', 'lined', 'textured', 'no finishing or techniques', 'solid', 'plain weave', 'glossy']"
hasLength,9,"['ankle-length', 'short', 'flat', 'ankle length', 'ankle-high', 'closed-toe', 'high heel', 'low-top', 'sandal']"
hasOpeningType,6,"['slip-on', 'shoes', 'open toe', 'closed front', 'strap', 'ties']"
hasNeckline,6,"['no neckline', 'round neckline', 'v-neck', 'round', 'round neck', 'open neckline']"
hasPattern,6,"['solid color', 'striped', 'print', 'floral', 'houndstooth', 'polka-dot']"
hasSilhouette,5,"['slip-on', 'slipper', 'open toe', 'flat', 'sandal']"
hasLeatherType,4,"['full-grain', 'full-grain leather', 'no leather', 'smooth']"
hasMaterialType,4,"['leather', 'fabric', 'synthetic', 'textile']"
hasSleeveType,4,"['sleeveless', 'slip-on', 'short', 'short-sleeve']"
depicts,3,"['shoes', 'sandal', 'sandals']"
hasPocketType,3,"['no pocket', 'pockets', 'unpocketsed']"
hasAnimalPattern,1,['no animal patterns']
belongsToCategory,1,['lowerbody']
