relationshipType,unique_value_count,unique_values
hasPocketType,11,"['no pocket', 'zipper', 'single', 'pocketless', 'external', 'side pockets', 'exterior pockets', 'closed', 'side pocket', 'no_pockets', 'zipper pocket']"
hasFabricTreatment,10,"['plain weave', 'solid', 'waterproof', 'textured', 'water-resistant', 'treated', 'non-treated', 'smooth', 'un-treated', 'no treatment']"
hasSilhouette,9,"['rectangular', 'straight', 'flat', 'a-line', 'circle', 'cylindrical', 'structured', 'clutch', 'box-shaped']"
depicts,7,"['bag', 'shoes', 'belt', 'wallet', 'watch', 'handbag', 'bracelet']"
hasNeckline,7,"['round neck', 'round', 'straight neck', 'no neckline', 'v-neck', 'rounded', 'notch neckline']"
hasPattern,6,"['solid color', 'solid pattern', 'floral', 'striped', 'plain pattern', 'stripe']"
hasOpeningType,6,"['zipper opening', 'zipper', 'buckle', 'slit', 'slip-on', 'zipper closure']"
hasWaistline,6,"['no waist', 'high', 'natural', 'natural-waist', 'high-waisted', 'high waisted']"
hasMaterialType,5,"['fabric', 'leather', 'nylon', 'synthetic', 'synthetic material']"
hasSleeveType,5,"['sleeveless', 'long-sleeve', 'long', 'short', 'no sleeve']"
hasLeatherType,3,"['smooth leather', 'smooth', 'no leather']"
hasLength,2,"['short', 'long']"
belongsToCategory,2,"['lowerbody', 'upperbody']"
hasNickname,2,"['clutch', 'handbag']"
hasCollarType,1,['open']
