relationshipType,unique_value_count,unique_values
hasOpeningType,11,"['buttoned front', 'button', 'zipper', 'buttoned front opening', 'button front', 'buttons down the front', 'button placket', 'button or zipper', 'buttoned opening', 'buttons', 'zip fastening']"
hasCollarType,8,"['classic collar', 'collared', 'spread-collar', 'v-neck', 'notch', 'band collar', 'pointed', 'polo']"
hasFabricTreatment,7,"['plain weave', 'unfinished seams', 'smooth finish', 'brushed', 'unbleached', 'solid', 'soft']"
hasPocketType,7,"['no pocket', 'chest pocket', 'patch pockets', 'patch pocket', 'slant pocket', 'pocketless', 'side pocket']"
hasNeckline,4,"['v-neck', 'crew neck', 'classic', 'standard']"
hasSilhouette,4,"['regular', 'straight', 'fitted', 'slim-fit']"
hasPattern,3,"['striped', 'plaid', 'horizontal stripes']"
hasSleeveType,2,"['short-sleeve', 'short']"
hasLapelType,2,"['lapelless', 'no-lapel']"
hasMaterialType,1,['cotton']
hasLength,1,['short']
hasWaistline,1,['natural']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
hasNickname,1,['polo shirt']
