relationshipType,unique_value_count,unique_values
hasOpeningType,10,"['zipper', 'crew-neck', 'crew neck', 'round neckline', 'round neck opening', 'zipper opening', 'round opening', 'round neck', 'crew neck opening', 'round-neck']"
hasSilhouette,9,"['regular fit', 'round', 'a-line', 'crew-neck', 'crew neck', 'fitted', 'straight', 'regular', 'straight fit']"
hasPattern,8,"['solid color', 'graphic print', 'graphic', 'striped pattern', 'striped', 'abstract', 'cartoon character', 'stripe pattern']"
hasWaistline,7,"['natural-waist', 'high-waisted', 'natural', 'fitted', 'no-waist', 'defined', 'straight']"
hasNeckline,5,"['round neckline', 'crew neck', 'round neck', 'crew-neck', 'round']"
hasFabricTreatment,5,"['unbleached', 'dyed', 'plain weave', 'none specified', 'soft and breathable']"
hasCollarType,3,"['crew-neck', 'round collar', 'round-neck']"
hasPocketType,3,"['side pocket', 'no pocket', 'side pockets']"
hasLength,2,"['short', 'short-sleeve']"
hasLapelType,2,"['non-lapelled', 'lapel-less']"
hasNickname,2,"['graphic tee', 'crew neck t-shirt']"
hasAnimalPattern,2,"['cartoon character', 'tiger']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
depicts,1,['t-shirt']
hasLeatherType,1,['no leather']
