relationshipType,unique_value_count,unique_values
hasMaterialType,9,"['plastic', 'leather', 'metal', 'acetate', 'woolen', 'cotton', 'stainless steel', 'polyester', 'wool']"
hasFabricTreatment,6,"['coated', 'polished metal', 'embossed', 'polished', 'stained', 'plain weave']"
hasSleeveType,6,"['sleeveless', 'long', 'short', 'short-sleeve', 'no sleeve', 'long-sleeve']"
hasOpeningType,5,"['closed opening', 'buckle', 'hook and eye', 'button', 'button fastening']"
hasLength,5,"['short', 'long', 'no length defined', 'sunglasses', 'full length']"
hasPattern,4,"['solid color', 'striped', 'plaid', 'animal-print']"
hasNeckline,4,"['no neckline', 'round', 'straight', 'round neckline']"
depicts,3,"['glasses', 'watch', 'scarf']"
hasSilhouette,2,"['rectangular', 'aviator']"
hasNickname,2,"['sunglasses', 'clock']"
hasLeatherType,2,"['crocodile', 'genuine']"
belongsToCategory,1,['head']
