1.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, depicts, Handbag)
2.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, belongs_to_category, upperbody)
3.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_silhouette, Tote bag)
4.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_waistline, None)
5.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_length, Medium length)
6.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_collar_type, None)
7.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_lapel_type, None)
8.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_neckline, None)
9.  (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_sleeve_type, None)
10. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_pocket_type, None)
11. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_opening_type, Zipper)
12. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_material_type, Leather)
13. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_leather_type, None)
14. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_fabric_treatment, None)
15. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_pattern, Solid color)
16. (Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags_4, has_animal_pattern, None)
