relationshipType,unique_value_count,unique_values
hasFabricTreatment,15,"['soft finish', 'unfinished', 'brushed cotton', 'unlined', 'unfinished seams', 'plain weave', 'non-treated fabric', 'non-stretchy fabric', 'non-treated', 'non-iron', 'twill weave', 'brushed', 'solid', 'brushed finish', 'plain weaved']"
hasNeckline,15,"['crew neck', 'v-neck', 'classic collar', 'classic', 'pointed', 'point collar', 'classic neckline', 'spread', 'crew-neck', 'crew neckline', 'spread collar', 'pointed collar', 'straight neckline', 'notch', 'straight']"
hasOpeningType,13,"['button front opening', 'button', 'button front', 'single-breasted', 'full opening', 'button-down opening', 'buttoned front', 'button-up', 'button-front opening', 'buttons', 'buttoned opening', 'button-down', 'buttonhole']"
hasPocketType,13,"['patch pockets', 'side pockets', 'patch', 'buttonhole pockets', 'chest pocket', 'chest pockets', 'flap pockets', 'slant pockets', 'side seam', 'no pocket', 'slant', 'side pocket', 'chest']"
hasCollarType,9,"['collared', 'pointed', 'spread-collar', 'pointed-collar', 'v-neck', 'collared shirt', 'button-down', 'classic collar', 'notch-collar']"
hasPattern,7,"['solid color', 'plaid', 'striped', 'striped pattern', 'plaid pattern', 'solid color pattern', 'zebra']"
hasLength,7,"['short', 'long', 'short-sleeved', 'regular', 'short sleeve', 'long sleeve', 'short-sleeve']"
hasWaistline,7,"['natural-waist', 'high-waisted', 'natural', 'natural waistline', 'fitted', 'defined waistline', 'high']"
hasSleeveType,6,"['short-sleeve', 'short', 'long-sleeve', 'long', 'sleeveless', 'full sleeves']"
hasSilhouette,5,"['slim-fit', 'straight', 'classic', 'regular', 'fitted']"
hasLapelType,4,"['peak lapel', 'notch lapel', 'no-lapel', 'pointed']"
hasLeatherType,2,"['no-leather', 'no leather']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
hasAnimalPattern,1,['no animal patterns']
hasNickname,1,['striped t-shirt']
