relationshipType,unique_value_count,unique_values
hasSilhouette,9,"['rectangular', 'round', 'angular', 'square', 'octagon', 'circular', 'oval', 'classic', 'strapless']"
hasMaterialType,5,"['leather', 'metal', 'stainless steel', 'fabric', 'plastic']"
hasOpeningType,5,"['snap button closure', 'buckle', 'button', 'closed opening', 'buckle and button closure']"
belongsToCategory,5,"['head', 'watch', 'upperbody', 'headwear', 'wholebody']"
hasLength,4,"['short', 'wristwatch', 'medium length', 'wristwatch size']"
hasFabricTreatment,3,"['smooth', 'polished', 'polished metal']"
hasSleeveType,3,"['short-sleeve', 'sleeveless', 'long-sleeve']"
hasLeatherType,3,"['no leather', 'smooth', 'no leather type specified']"
hasNeckline,2,"['round neckline', 'round']"
hasPattern,1,['solid color']
depicts,1,['watch']
hasWaistline,1,['no waist']
