relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['zipper closure', 'closed front', 'zipper', 'buttons', 'button-front closure', 'zippered front', 'front opening', 'button closure', 'zip', 'button', 'zipper or button closure', 'button front']"
hasNeckline,6,"['v-neck', 'round neckline', 'round neck', 'v-shaped', 'round', 'round-neck']"
hasCollarType,6,"['v-neck', 'round neck', 'mandarin-collar', 'round collar', 'round', 'notched']"
hasFabricTreatment,5,"['plain weave', 'unfinished seams', 'printed', 'print', 'embroidery']"
hasSleeveType,3,"['short-sleeve', 'sleeveless', 'three quarter']"
hasLength,3,"['knee-length', 'midi', 'above the knee']"
hasAnimalPattern,3,"['no animal patterns', 'flower', 'no']"
hasPattern,2,"['floral', 'striped']"
hasWaistline,2,"['natural', 'high-waisted']"
hasSilhouette,2,"['a-line', 'straight']"
hasPocketType,2,"['no-pockets', 'side pockets']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
depicts,1,['dress']
hasLeatherType,1,['no leather']
