relationshipType,unique_value_count,unique_values
hasLength,12,"['midi', 'ankle-high', 'full length', 'low-top shoes', 'short', 'ankle boots', 'low-top', 'low heel', 'low-heeled', 'flat heel', 'closed-toe', 'flat']"
hasLeatherType,12,"['full grain leather', 'cow leather', 'full-grain leather', 'nubuck', 'leather', 'calf skin', 'smooth leather', 'full grain', 'veg tan leather', 'cowhide', 'full-grain', 'suede']"
hasOpeningType,11,"['lace-up', 'shoes', 'lace-up closure', 'slip-on shoes', 'shoe opening', 'slip-on', 'velcro fastener', 'zip closure', 'closed front', 'closed opening', 'closed']"
hasSleeveType,8,"['slip-on', 'short-sleeve', 'unadorned sleeves', 'sleeveless', 'closed toe', 'sandal', 'long-sleeve', 'closed']"
hasFabricTreatment,5,"['smooth finish', 'suede', 'suede finish', 'embossed', 'uncoated']"
hasNeckline,4,"['round neckline', 'boat neckline', 'crew neck', 'high neckline']"
hasSilhouette,3,"['round toe', 'slip-on', 'pointed toe']"
hasPattern,3,"['solid color', 'striped', 'geometric']"
hasMaterialType,1,['leather']
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
hasAnimalPattern,1,['no animal print']
