relationshipType,unique_value_count,unique_values
hasOpeningType,16,"['crew-neck', 'button front', 'side opening', 'zipper', 'round neck', 'zipper closure', 'crew neck', 'button', 'round neckline', 'crew neck opening', 'button placket', 'front opening', 'crew-neck opening', 'button-up', 'button-down front', 'round-neck']"
hasLength,14,"['hip length', 'short', 'regular length', 'knee-length', 'full length', 'medium length', 'midi', 'below the knee', 'short sleeve', 'short-sleeve', 'full-length', 'mid-calf length', 'long sleeve', 'short-length']"
hasSilhouette,8,"['straight', 'regular fit', 'a-line', 'crew-neck', 'crew neck', 'slim-fit', 'relaxed fit', 'fitted']"
hasFabricTreatment,7,"['plain weave', 'unbleached', 'brushed for softness', 'printed', 'brushed finish', 'brushed', 'pre-shrunk']"
hasNeckline,7,"['round neckline', 'round neck', 'crew-neck', 'crew neck', 'v-neck', 'crew neckline', 'round-neck']"
hasCollarType,7,"['crew-neck', 'hooded', 'hooded collar', 'round neck', 'round-neck', 'v-neck', 'polo collar']"
depicts,7,"['sweatshirt', 't-shirt', 'dress', 'hoodie', 'sweater', 'shirt', 'jacket']"
hasPattern,6,"['solid color', 'floral', 'striped', 'graphic print', 'geometric', 'graphic-print']"
hasNickname,6,"['hoodie', 'floral dress', 'blue t-shirt', 'little miss tidy', 'graphic tee', 'green graphic tee']"
hasSleeveType,5,"['long-sleeve', 'short-sleeve', 'elbow-length sleeves', 'short-sleeves', 'sleeveless']"
hasWaistline,5,"['natural waistline', 'natural-waist', 'high-waisted', 'natural', 'fitted']"
hasMaterialType,4,"['cotton', 'cotton blend', 'knitted fabric', 'knitwear']"
hasPocketType,4,"['side pockets', 'no-pockets', 'side pocket', 'buttoned pocket']"
hasAnimalPattern,2,"['no', 'cartoon animal']"
belongsToCategory,1,['upperbody']
hasLeatherType,1,['no leather']
hasLapelType,1,['lapelless']
