relationshipType,unique_value_count,unique_values
hasOpeningType,13,"['slipper', 'slip-on', 'shoes', 'strap opening', 'one-piece opening', 'zipper', 'lace-up', 'closed toe and closed heel', 'lace-up front', 'closed', 'slipper opening', 'closed opening', 'closed-front']"
hasSilhouette,11,"['slipper', 'slipper-like', 'slip-on', 'flat', 'round', 'ankle boots', 'sandal', 'athletic', 'regular', 'loafer', 'pointed-toe']"
hasFabricTreatment,8,"['painted', 'plain weave', 'textured', 'non-woven fabric', 'suede', 'no treatment', 'smooth', 'perforated']"
hasSleeveType,6,"['slip-on', 'sleeveless', 'short', 'long-sleeve', 'short-sleeve', 'no-sleeves']"
hasNeckline,6,"['open neckline', 'round', 'open', 'round neck', 'round neckline', 'round-neckline']"
hasMaterialType,5,"['fabric', 'rubber', 'synthetic', 'leather', 'cotton']"
hasPattern,5,"['cartoon', 'solid color', 'polka-dot', 'floral', 'striped']"
hasLeatherType,4,"['full-grain leather', 'nappa', 'nubuck', 'no leather']"
hasPocketType,4,"['no pocket', 'pocketless', 'pockets', 'no-pockets']"
hasLength,3,"['short', 'ankle-length', 'long']"
belongsToCategory,3,"['lowerbody', 'shoes', 'upperbody']"
hasCollarType,2,"['open', 'slip-on']"
depicts,1,['shoes']
hasAnimalPattern,1,['mickey mouse']
hasWaistline,1,['natural']
