relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['round neck', 'open front', 'zipper closure', 'crew-neck', 'zipper', 'crew neck', 'round neckline', 'buttons', 'front opening', 'zip front', 'button front', 'crew neck opening']"
hasNeckline,7,"['round neck', 'crew neck', 'crew-neck', 'v-neck', 'round', 'crew neckline', 'round neckline']"
hasPattern,7,"['solid color', 'graphic', 'floral print', 'striped', 'graphic print', 'plaid', 'abstract']"
hasWaistline,6,"['natural', 'defined', 'straight', 'high-waisted', 'high', 'fitted']"
hasSilhouette,5,"['straight', 'crew-neck', 'a-line', 'fitted', 'crew neck']"
hasLapelType,3,"['no-lapel', 'lapelless', 'lapel-less']"
hasFabricTreatment,3,"['dyed', 'plain weave', 'non-textured']"
hasSleeveType,2,"['short-sleeve', 'short']"
hasCollarType,2,"['crew-neck', 'v-neck']"
depicts,2,"['t-shirt', 'shirt']"
hasMaterialType,1,['cotton']
hasLength,1,['short']
belongsToCategory,1,['upperbody']
hasPocketType,1,['side pockets']
hasNickname,1,['t-shirt']
