relationshipType,unique_value_count,unique_values
hasOpeningType,16,"['open-front', 'strap', 'lace-up', 'slip-ons', 'slipper', 'velcro', 'closed', 'closed-front', 'zipper', 'laced-up', 'slip-on', 'open toe', 'open-toe', 'buttonhole', 'closed-toe', 'closed toe']"
hasFabricTreatment,13,"['perforated', 'stitched', 'suede', 'texturized', 'textured', 'waterproof', 'smooth', 'plain weave', 'plain-weave', 'non-treated', 'coated', 'stitching', 'breathable mesh']"
hasSilhouette,12,"['round', 'open-toed', 'open', 'regular', 'athletic', 'slipper', 'slip-on', 'flat', 'closed', 'sporty', 'bootcut', 'straight']"
hasSleeveType,8,"['sleeveless', 'short', 'long-sleeves', 'closed', 'long-sleeve', 'ankle-length sleeve', 'long', 'short-sleeve']"
hasLength,5,"['ankle-length', 'short', 'ankle-high', 'low-top', 'medium']"
hasPattern,5,"['solid color', 'striped', 'floral', 'solid-colored', 'solid-color']"
hasMaterialType,4,"['synthetic', 'fabric', 'leather', 'canvas']"
hasPocketType,4,"['no-pockets', 'pocketless', 'no pocket', 'side']"
hasWaistline,3,"['high', 'no-waist', 'high-waisted']"
hasLapelType,2,"['lapelless', 'no-lapel']"
depicts,2,"['shoes', 'watch']"
hasNeckline,2,"['round', 'round-neck']"
belongsToCategory,1,['lowerbody']
hasLeatherType,1,['nubuck']
hasAnimalPattern,1,['no animal print']
hasCollarType,1,['non-collared']
