relationshipType,unique_value_count,unique_values
hasOpeningType,10,"['crew neck opening', 'crew neck', 'zipper closure', 'round neckline', 'round opening', 'full button closure', 'round', 'button-up opening', 'round neck', 'zip front']"
hasPattern,9,"['floral', 'striped', 'graphic print', 'solid color', 'floral print', 'graphic', 'plaid', 'geometric', 'stripe pattern']"
hasWaistline,6,"['straight', 'natural', 'fitted', 'no waist', 'high-waisted', 'natural-waist']"
hasLength,4,"['short', 'short-sleeve', 'regular', 'short sleeve']"
hasNeckline,4,"['crew neck', 'round neck', 'round', 'round neckline']"
hasFabricTreatment,4,"['perforated', 'dyed', 'plain weave', 'stretch']"
hasCollarType,3,"['crew-neck', 'round', 'round collar']"
hasSilhouette,3,"['crew neck', 'straight', 'round neck']"
depicts,2,"['t-shirt', 'shirt']"
hasLapelType,2,"['lapel-less', 'non-existent']"
hasNickname,2,"['graphic tee', 't-shirt']"
hasPocketType,2,"['no pocket', 'side pockets']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['no leather']
hasAnimalPattern,1,['tiger']
