relationshipType,unique_value_count,unique_values
hasOpeningType,16,"['crew neck opening', 'open front', 'zipper closure', 'crew neck', 'button', 'crew-neck', 'round neck', 'buttoned front', 'straight', 'round neckline', 'button front', 'round opening', 'buttoned placket', 'zip front', 'button placket', 'round-neck']"
hasPattern,10,"['solid-color', 'striped', 'graphic', 'floral', 'floral print', 'abstract pattern', 'solid color', 'stripe', 'plaid', 'geometric']"
hasNeckline,7,"['round', 'crew-neck', 'crew neck', 'crew neckline', 'round neck', 'round-neckline', 'round neckline']"
hasLength,6,"['regular', 'short', 'short-sleeve', 'long', 'regular length', 'short sleeve']"
hasPocketType,5,"['side pockets', 'side pocket', 'patch pockets', 'no-pocket', 'no pocket']"
hasSilhouette,5,"['straight', 'crew-neck', 'slim-fit', 'a-line', 'crew neck']"
hasFabricTreatment,5,"['no treatment', 'plain weave', 'non-stretchable fabric', 'stretch', 'washed']"
hasCollarType,3,"['crew-neck', 'spread-collar', 'pointed-collar']"
hasWaistline,3,"['natural', 'straight', 'fitted']"
hasLapelType,3,"['lapelless', 'non-lapelled', 'lapel-less']"
depicts,2,"['t-shirt', 'shirt']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasNickname,1,['t-shirt']
