relationshipType,unique_value_count,unique_values
hasLength,9,"['short', 'medium', 'long', 'no length defined', 'sunglasses', 'variable', 'full length', 'full-length', 'full']"
hasNeckline,7,"['no neckline', 'round', 'v-neck', 'high', 'straight', 'round neck', 'round neckline']"
hasOpeningType,5,"['closed opening', 'hook and eye', 'unbuttoned', 'button', 'button front']"
hasSilhouette,5,"['rectangular', 'aviator', 'oval', 'round', 'ovals']"
hasMaterialType,4,"['plastic', 'metal', 'acetate', 'synthetic']"
hasSleeveType,4,"['sleeveless', 'short', 'long', 'short-sleeve']"
hasPattern,3,"['solid color', 'gradient', 'striped']"
depicts,3,"['glasses', 'necklace', 'watch']"
hasFabricTreatment,2,"['coated', 'anti-reflective coating']"
hasNickname,2,"['sunglasses', 'clock']"
belongsToCategory,1,['head']
hasPocketType,1,['pocket-less']
hasLapelType,1,['no-lapel']
