relationshipType,unique_value_count,unique_values
hasCollarType,15,"['classic collar', 'pointed-collar', 'polo collar', 'round collar', 'collared', 'collared shirt', 'collarless collar', 'spread-collar', 'crew-neck', 'button-down', 'crew neck collar', 'notch-collar', 'pointed', 'collared collar', 'v-neck']"
hasNeckline,10,"['crew neck', 'v-neckline', 'pointed', 'classic', 'round neckline', 'spread', 'round', 'v-neck', 'point', 'pointed neckline']"
hasFabricTreatment,9,"['perforated', 'plain weave', 'unfinished', 'no treatment', 'stretchy', 'unfinished hems', 'unstretched', 'plain fabric', 'unfinished hem and none']"
hasPocketType,8,"['slant pocket', 'side-pockets', 'breast pocket', 'side', 'chest pocket', 'patch', 'patch pocket', 'no pocket']"
hasPattern,7,"['plaid pattern', 'striped', 'plain pattern', 'plaid', 'striped pattern', 'solid color', 'solid pattern']"
hasWaistline,6,"['natural', 'high-waisted', 'natural waistline', 'fitted', 'straight', 'natural-waist']"
hasOpeningType,5,"['button', 'round opening', 'button front', 'zipper', 'crew neck']"
hasSilhouette,4,"['straight', 'crew neck', 'regular', 'fitted silhouette']"
depicts,4,"['shirt', 't-shirt', 'pants', 'sports bra']"
hasMaterialType,3,"['cotton', 'cotton material', 'synthetic fabric']"
hasLapelType,3,"['notch lapel', 'absent', 'notched']"
hasLength,3,"['short', 'full-length', 'regular']"
hasSleeveType,2,"['short-sleeve', 'short']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
hasLeatherType,2,"['no leather', 'no leather type']"
