relationshipType,unique_value_count,unique_values
hasNeckline,15,"['v-neckline', 'crew neckline', 'classic collar neckline', 'straight neckline', 'v-neck', 'classic spread collar', 'point collar neckline', 'notch', 'pointed neckline', 'spread collar', 'round neckline', 'classic neckline', 'v neckline', 'v-neck neckline', 'round']"
hasPattern,10,"['solid color', 'plaid pattern', 'striped pattern', 'checkered pattern', 'solid pattern', 'striped', 'solid color pattern', 'plaid', 'floral', 'plain pattern']"
hasLength,9,"['knee-length', 'midi', 'regular length', 'full length', 'long', 'hip-length', 'regular', 'above the knee length', 'short']"
hasFabricTreatment,8,"['plain weave', 'plain weave fabric treatment', 'non-treated fabric', 'perforated fabric treatment', 'twill weave', 'no special treatment', 'unfinished seams', 'unbleached']"
hasOpeningType,8,"['button front opening', 'front opening', 'button front', 'button', 'hidden opening', 'buttons', 'button-front opening', 'button opening type']"
hasCollarType,8,"['mandarin-collar', 'spread-collar', 'pointed-collar', 'crew neck collar', 'v-neck', 'pointed', 'notch-collar', 'v-neck collar type']"
hasPocketType,7,"['patch pockets', 'side pockets', 'chest pockets', 'side pocket', 'no pocket', 'chest pocket', 'slanted pockets']"
depicts,6,"['shirt', 'sweatshirt', 't-shirt', 'sweater', 'dress', 'tunic']"
hasMaterialType,4,"['cotton', 'cotton material', 'cotton fabric', 'acrylic material']"
hasLapelType,4,"['notch lapel', 'pointed lapel', 'lapelless', 'notch lapel type']"
hasSleeveType,3,"['long-sleeve', 'short-sleeve', 'sleeveless sleeves']"
hasWaistline,3,"['natural waistline', 'natural', 'natural-waist']"
hasLeatherType,3,"['no leather type', 'none leather type', 'no leather']"
hasSilhouette,2,"['straight', 'a-line']"
belongsToCategory,1,['upperbody']
hasAnimalPattern,1,['zebra print']
