relationshipType,unique_value_count,unique_values
hasSilhouette,14,"['closed-toe', 'loafer', 'rounded toe', 'low-top', 'round', 'pointed-toe', 'pointed toe', 'round toe', 'slip-on', 'regular', 'boot', 'bootcut', 'regular fit', 'lace-up']"
hasOpeningType,7,"['lace-up', 'lace-up closure system', 'lace-up closure', 'closed shoes', 'zipper', 'closed-toe', 'slip-on opening']"
hasLength,7,"['ankle-high', 'ankle-length', 'short', 'ankle length', 'low-top', 'low-heeled', 'midi']"
hasFabricTreatment,7,"['nubuck finish', 'suede finish', 'perforated', 'smooth finish', 'suede', 'polished', 'no special treatment']"
hasSleeveType,6,"['short-sleeve', 'closed', 'sleeveless', 'long-sleeve', 'closed-toe', 'no sleeve']"
hasPattern,5,"['solid color', 'plaid', 'solid-colored', 'striped', 'plain color']"
hasNeckline,5,"['no neckline', 'round neckline', 'round neck', 'round', 'open neckline']"
hasLeatherType,4,"['full-grain leather', 'full-grain', 'smooth leather', 'smooth']"
hasMaterialType,3,"['leather', 'synthetic', 'fabric']"
depicts,3,"['shoes', 'sneaker', 'shoe']"
belongsToCategory,2,"['lowerbody', 'footwear']"
hasWaistline,1,['high-waisted']
