relationshipType,unique_value_count,unique_values
hasNeckline,13,"['classic', 'crew-neck', 'pointed', 'pointed collar', 'classic crew neck', 'crewneck', 'classic collar neckline', 'cutaway neckline', 'classic collar', 'regular', 'pointed neckline', 'crew neck', 'crew neckline']"
hasPocketType,11,"['chest', 'chest pocket', 'patch pockets', 'slant', 'side pockets', 'patch', 'chest pockets', 'front pocket', 'breast pocket', 'patch pocket', 'side pocket']"
hasPattern,7,"['plaid', 'checked', 'striped', 'plaid pattern', 'checkered', 'stripe', 'solid color']"
hasOpeningType,7,"['button', 'buttons', 'button-front opening', 'button front', 'button-down front', 'front opening', 'button-down']"
hasCollarType,7,"['pointed', 'button-down', 'classic collar', 'pointed-collar', 'spread-collar', 'button-down collar', 'button down collar']"
hasLength,7,"['regular', 'short', 'short sleeves', 'full length', 'long', 'midi', 'long-sleeved']"
hasFabricTreatment,6,"['plain weave', 'brushed cotton', 'perforated', 'solid', 'unfinished hem', 'unfinished seams']"
hasSilhouette,5,"['straight', 'fitted', 'regular fit', 'tailored', 'regular']"
hasSleeveType,4,"['short', 'long-sleeve', 'long', 'short-sleeve']"
hasWaistline,2,"['natural', 'natural-waist']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
hasNickname,1,['dress shirt']
hasLapelType,1,['notch lapel']
