relationshipType,unique_value_count,unique_values
hasOpeningType,14,"['asymmetrical', 'button closure', 'front-open', 'zipper', 'closed front', 'open front', 'open-front', 'back opening', 'center front opening', 'asymmetrical opening', 'button', 'side opening', 'front opening', 'wraparound opening']"
hasNeckline,8,"['v-neck', 'round neckline', 'asymmetrical', 'v-neckline', 'round', 'boat-neck', 'straight', 'off-the-shoulder']"
hasWaistline,7,"['high-waisted', 'natural waistline', 'natural', 'high', 'natural-waisted', 'high-waisted waistline', 'natural-waist']"
hasFabricTreatment,6,"['embroidery', 'embroidered', 'printed', 'dobby', 'dyeing', 'plain weave']"
depicts,6,"['dress', 'saree', 'sari', 'tie', 'skirt', 'shirt']"
hasLength,4,"['long', 'floor length', 'ankle-length', 'knee-length']"
hasSilhouette,4,"['a-line', 'straight', 'sheath', 'long']"
belongsToCategory,4,"['upperbody', 'lowerbody', 'wholebody', 'neckwear']"
hasAnimalPattern,4,"['animal print', 'elephant', 'no', 'peacock feather']"
hasSleeveType,3,"['sleeveless', 'long-sleeve', 'long']"
hasPattern,2,"['floral', 'striped']"
hasMaterialType,2,"['silk', 'cotton']"
hasPocketType,2,"['pocketless', 'no-pockets']"
hasCollarType,2,"['pointed', 'strapless']"
hasNickname,1,['sari']
hasLapelType,1,['lapelless']
