1.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, depicts, Shoes)
2.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, belongs_to_category, upperbody)
3.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_silhouette, Round-Toe Shoe)
4.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_waistline, None)
5.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_length, Ankle-Length)
6.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_collar_type, None)
7.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_lapel_type, None)
8.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_neckline, Round Neck)
9.  (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_sleeve_type, None)
10. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_pocket_type, None)
11. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_opening_type, Lace-Up)
12. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_material_type, Fabric)
13. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_leather_type, None)
14. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_fabric_treatment, None)
15. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_pattern, None)
16. (ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes_3, has_animal_pattern, None)
