relationshipType,unique_value_count,unique_values
hasOpeningType,11,"['round neck', 'open front', 'crew-neck', 'zipper front', 'button', 'crew neck', 'round neck opening', 'round neckline', 'crew neck opening', 'full opening', 'button-down front']"
hasPattern,11,"['plain pattern', 'solid color pattern', 'graphic', 'graphic print', 'geometric', 'solid color', 'graphic pattern', 'striped', 'plaid', 'floral', 'cartoon character']"
hasSilhouette,8,"['regular fit', 'straight', 'crew-neck', 'slim-fit', 'crew neck silhouette', 'a-line', 'fitted silhouette', 'fitted']"
hasWaistline,6,"['natural-waist', 'defined', 'straight', 'high-waisted', 'natural', 'natural waistline']"
hasFabricTreatment,5,"['unbleached', 'plain weave fabric', 'plain weave', 'no treatment', 'pre-shrunk']"
hasNeckline,5,"['round neck', 'crew-neck', 'round neckline', 'round', 'crew neck']"
hasCollarType,4,"['crew-neck', 'crew neck collar type', 'crew neck collar', 'round-neck']"
hasLapelType,4,"['non-lapelled', 'lapelless', 'no lapel type', 'lapel-less']"
hasMaterialType,2,"['cotton', 'cotton material type']"
hasPocketType,2,"['side pockets', 'no pocket']"
hasAnimalPattern,2,"['tiger', 'no']"
hasSleeveType,1,['short-sleeve']
hasLength,1,['short']
belongsToCategory,1,['upperbody']
depicts,1,['t-shirt']
hasNickname,1,['green graphic tee']
