relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['button', 'round', 'buttonhole', 'buckle', 'button closure', 'clasp', 'closed', 'button hole', 'false', 'open', 'button-down', 'zip closure']"
hasFabricTreatment,6,"['polished', 'smooth', 'dyed', 'treated with a water-repellent coating', 'suede', 'textured']"
hasMaterialType,5,"['stainless steel', 'metal', 'plastic', 'leather', 'fabric']"
hasSleeveType,5,"['long', 'short', 'sleeveless', 'long-sleeve', 'short-sleeve']"
hasLeatherType,5,"['calfskin', 'smooth', 'crocodile', 'full-grain leather', 'cowhide']"
hasSilhouette,4,"['round', 'square', 'rectangular', 'straight']"
hasLength,3,"['short', 'medium', 'long']"
hasNeckline,3,"['round', 'square', 'round neckline']"
hasPattern,2,"['solid color', 'striped']"
hasWaistline,2,"['natural', 'no waist']"
hasPocketType,2,"['no pocket', 'false']"
belongsToCategory,1,['upperbody']
depicts,1,['watch']
hasLapelType,1,['lapelless']
hasAnimalPattern,1,['false']
hasNickname,1,['timepiece']
