relationshipType,unique_value_count,unique_values
hasOpeningType,9,"['one opening', 'round', 'closed opening', 'button', 'buckle', 'closed', 'button or buttonhole opening', 'open front', 'button or zipper']"
hasFabricTreatment,7,"['polished', 'no treatment', 'polished finish', 'coated', 'polished metal', 'stamped', 'polished surface']"
hasSleeveType,6,"['sleeveless', 'long', 'short', 'short-sleeve', 'long-sleeve', 'no sleeve']"
hasLength,5,"['short', 'no length', 'full length', 'long', 'medium']"
hasSilhouette,5,"['round', 'square', 'circular', 'rectangular', 'classic']"
hasNeckline,4,"['round', 'round neckline', 'no neckline', 'straight']"
belongsToCategory,4,"['head', 'upperbody', 'accessories', 'headwear']"
hasPattern,3,"['solid color', 'plain pattern', 'animal-print']"
hasNickname,3,"['wristwatch', 'fossil watch', 'timepiece']"
hasMaterialType,2,"['metal', 'leather']"
hasPocketType,2,"['pocketless', 'no pocket']"
depicts,1,['watch']
hasLeatherType,1,['no leather']
hasWaistline,1,['no waist']
hasAnimalPattern,1,['leopard']
